Coaching,Flag,Event ID,Recorded Date,Severity,Score,Observations,Vehicle,Driver ID
Not In Queue,Not Flagged,9096-RGTF,24-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6110,59
Coached,Not Flagged,9096-RGTC,24-Mar-17,Category 4,275,Excessive Speeding (> 10 mph Over Limit),6110,59
Coached,Not Flagged,9096-RGT9,24-Mar-17,Category 4,275,Excessive Speeding (> 10 mph Over Limit),6110,59
Not In Queue,Not Flagged,9096-RGT8,24-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),6110,59
Not In Queue,Not Flagged,9096-RGT7,24-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),6110,59
Not In Queue,Not Flagged,9096-RGT4,24-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6110,59
Coached,Not Flagged,9096-RGT3,24-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),6110,59
Coached,Not Flagged,9096-RGT1,24-Mar-17,Category 4,275,Excessive Speeding (> 10 mph Over Limit),6110,59
Coached,Not Flagged,9096-RGSH,24-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6110,59
Coached,Not Flagged,9096-RGK2,27-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),13010,1246
Not In Queue,Not Flagged,9096-RGF3,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9040,215
Not In Queue,Not Flagged,9096-RGEP,27-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),4012,1906
Not In Queue,Not Flagged,9096-RGEN,27-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10005,846
Not In Queue,Not Flagged,9096-RGCE,27-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),14005,2123
Not In Queue,Not Flagged,9096-RGA6,27-Mar-17,Category 2,195,Incomplete Stop at Light,9975,1729
Not In Queue,Not Flagged,9096-RG9R,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9007,1802
Not In Queue,Not Flagged,9096-RG8K,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9711,1698
Not In Queue,Not Flagged,9096-RG7W,27-Mar-17,Category 2,195,Incomplete Stop at Light,12213,1344
Coached,Not Flagged,9096-RG7K,24-Mar-17,Category 3,224,"Passenger(s), Unsafe Following (2.25 - 3 seconds)",14008,1811
Not In Queue,Not Flagged,9096-RG7H,24-Mar-17,Category 2,98,"Moderate Speeding (<= 10 mph Over Limit), Passenger(s)",14008,1811
Not In Queue,Not Flagged,9096-RG6F,27-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14007,1698
Coached,Not Flagged,9096-RG5S,27-Mar-17,Category 3,226,Unsafe Braking,213,1987
Not In Queue,Not Flagged,9096-RG5K,27-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),201,336
Not In Queue,Not Flagged,9096-RG3F,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6104,1860
Not In Queue,Not Flagged,9096-RG38,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,5054,1108
Not In Queue,Not Flagged,9096-RG31,27-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9011,1768
Not In Queue,Not Flagged,9096-RG1W,24-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),9037,1875
Not In Queue,Not Flagged,9096-RG1V,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,14009,2250
Coached,Not Flagged,9096-RG17,27-Mar-17,Category 4,465,"Driver Seatbelt Unfastened (>20 mph), Failure to Attempt to Stop at Light",16222,1633
Aged out,Not Flagged,9096-RG0R,27-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),8106,2040
Not In Queue,Not Flagged,9096-RFZA,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,7001,203
Not In Queue,Not Flagged,9096-RFZ8,27-Mar-17,Category 2,195,Incomplete Stop at Light,10059,775
Not In Queue,Not Flagged,9096-RFYQ,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,7019,1890
Aged out,Not Flagged,9096-RFXW,27-Mar-17,Category 3,226,Unsafe Braking,9013,1604
Not In Queue,Not Flagged,9096-RFW9,27-Mar-17,Category 2,195,Incomplete Stop at Light,10055,1214
Not In Queue,Not Flagged,9096-RFW1,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,7021,1705
Not In Queue,Not Flagged,9096-RFV7,27-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15011,1398
Aged out,Not Flagged,9096-RFSZ,27-Mar-17,Category 4,275,Excessive Speeding (> 10 mph Over Limit),15007,2131
Not In Queue,Not Flagged,9096-RFRK,27-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),5055,236
Not In Queue,Not Flagged,9096-RFR4,27-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12013,1539
Not In Queue,Not Flagged,9096-RFQY,27-Mar-17,Category 2,195,Incomplete Stop at Light,11016,979
Not In Queue,Not Flagged,9096-RFQB,27-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7016,2049
Not In Queue,Not Flagged,9096-RFPM,27-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9952,1320
Aged out,Not Flagged,9096-RFNN,27-Mar-17,Category 3,226,Unsafe Braking,9022,1036
Coached,Not Flagged,9096-RFKB,27-Mar-17,Category 4,275,Failure to Attempt to Stop at Light,10062,122
Not In Queue,Not Flagged,9096-RFGW,26-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10026,1253
Coached,Not Flagged,9096-RFFV,26-Mar-17,Category 4,275,Excessive Speeding (> 10 mph Over Limit),14003,336
Not In Queue,Not Flagged,9096-RFFA,26-Mar-17,Category 1,49,Unsafe Following (3.25 - 4 seconds),9005,2131
Not In Queue,Not Flagged,9096-RF2F,25-Mar-17,Category 1,49,"Moderate Speeding (<= 10 mph Over Limit), Near Collision with Vehicle in Transport",9037,297
Not In Queue,Not Flagged,9096-RF0B,25-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10010,1614
Not In Queue,Not Flagged,9096-REZN,25-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),164,645
Coached,Not Flagged,9096-REYT,25-Mar-17,Category 3,200,Curb Check/Jumped Curb,9007,1632
Aged out,Not Flagged,9096-REYK,25-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),9027,955
Not In Queue,Not Flagged,9096-REY1,25-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10016,911
Not In Queue,Not Flagged,9096-REXR,25-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10034,932
Aged out,Not Flagged,9096-REXP,25-Mar-17,Category 3,226,Not Scanning Road Ahead,10025,132
Coached,Not Flagged,9096-REWS,25-Mar-17,Category 4,452,"Not Scanning Road Ahead, Unsafe Braking",12047,706
Coached,Not Flagged,9096-REWP,25-Mar-17,Category 3,200,Curb Check/Jumped Curb,9030,627
